iter	Passed	Remaining
0	42	8435
1	87	8708
2	131	8626
3	175	8614
4	217	8490
5	260	8426
6	305	8415
7	349	8399
8	395	8393
9	441	8384
10	484	8326
11	527	8269
12	572	8230
13	616	8192
14	659	8138
15	705	8117
16	750	8073
17	794	8031
18	836	7970
19	879	7917
20	922	7860
21	966	7823
22	1010	7776
23	1053	7724
24	1096	7677
25	1141	7639
26	1185	7595
27	1230	7558
28	1274	7515
29	1317	7466
30	1362	7429
31	1408	7397
32	1454	7362
33	1496	7308
34	1540	7262
35	1584	7217
36	1628	7173
37	1672	7128
38	1715	7082
39	1759	7039
40	1802	6991
41	1846	6947
42	1891	6904
43	1934	6858
44	1979	6817
45	2024	6776
46	2067	6731
47	2114	6696
48	2158	6652
49	2201	6603
50	2244	6557
51	2287	6511
52	2332	6468
53	2376	6424
54	2420	6381
55	2464	6337
56	2510	6299
57	2555	6255
58	2599	6211
59	2642	6166
60	2687	6124
61	2732	6082
62	2773	6031
63	2819	5990
64	2863	5946
65	2907	5902
66	2952	5860
67	2999	5821
68	3042	5775
69	3086	5731
70	3129	5686
71	3175	5644
72	3220	5603
73	3265	5560
74	3310	5516
75	3353	5472
76	3397	5426
77	3441	5382
78	3483	5335
79	3526	5289
80	3570	5245
81	3616	5204
82	3660	5160
83	3702	5113
84	3749	5072
85	3792	5027
86	3835	4981
87	3877	4935
88	3919	4888
89	3941	4817
90	3985	4773
91	4033	4735
92	4077	4691
93	4120	4646
94	4164	4602
95	4211	4562
96	4258	4522
97	4301	4476
98	4346	4433
99	4392	4392
100	4438	4350
101	4478	4302
102	4520	4257
103	4564	4212
104	4608	4169
105	4653	4126
106	4696	4082
107	4743	4040
108	4787	3997
109	4830	3952
110	4873	3907
111	4917	3863
112	4960	3818
113	5002	3774
114	5049	3731
115	5071	3672
116	5112	3626
117	5156	3583
118	5199	3538
119	5241	3494
120	5283	3449
121	5327	3406
122	5371	3362
123	5416	3319
124	5459	3275
125	5502	3231
126	5548	3189
127	5595	3147
128	5641	3104
129	5686	3061
130	5730	3018
131	5774	2974
132	5820	2931
133	5865	2888
134	5909	2845
135	5954	2802
136	5996	2757
137	6040	2714
138	6083	2669
139	6127	2626
140	6172	2582
141	6215	2538
142	6259	2495
143	6305	2452
144	6352	2409
145	6394	2365
146	6436	2320
147	6481	2277
148	6525	2233
149	6574	2191
150	6619	2148
151	6663	2104
152	6708	2060
153	6752	2017
154	6796	1973
155	6841	1929
156	6887	1886
157	6931	1842
158	6976	1798
159	7020	1755
160	7065	1711
161	7113	1668
162	7155	1624
163	7198	1580
164	7242	1536
165	7289	1492
166	7334	1449
167	7376	1405
168	7421	1361
169	7466	1317
170	7510	1273
171	7565	1231
172	7606	1187
173	7651	1143
174	7696	1099
175	7739	1055
176	7784	1011
177	7829	967
178	7872	923
179	7917	879
180	7962	835
181	8004	791
182	8048	747
183	8096	704
184	8145	660
185	8189	616
186	8233	572
187	8275	528
188	8320	484
189	8364	440
190	8410	396
191	8456	352
192	8501	308
193	8548	264
194	8591	220
195	8636	176
196	8680	132
197	8724	88
198	8767	44
199	8811	0
